order_month,total_revenue,total_orders
2016-10,8949.90,71
2017-01,36130.86,213
2017-02,68869.77,470
2017-03,115275.45,721
2017-04,103774.44,637
2017-05,159358.19,976
2017-06,131950.14,870
2017-07,154263.70,1105
2017-08,172052.01,1190
2017-09,187619.09,1149
2017-10,215205.56,1287
2017-11,318678.68,2064
2017-12,231773.12,1487
2018-01,295969.99,2032
2018-02,272680.58,1845
2018-03,311810.28,1997
2018-04,303972.42,1874
2018-05,319588.03,1891
2018-06,278330.73,1769
2018-07,298125.99,1753
2018-08,270162.00,1710
